State,County,Candidate,party,total_votes_candidate,won,total_votes_county,percent
Delaware,Kent County,Joe Biden,DEM,44552,TRUE,87025,100
Delaware,New Castle County,Joe Biden,DEM,195034,TRUE,287633,100
Delaware,Sussex County,Donald Trump,REP,71230,TRUE,129352,100
District of Columbia,District of Columbia,Joe Biden,DEM,39041,TRUE,41681,100
District of Columbia,Ward 2,Joe Biden,DEM,29078,TRUE,32881,100
District of Columbia,Ward 3,Joe Biden,DEM,39397,TRUE,44231,100
District of Columbia,Ward 4,Joe Biden,DEM,42489,TRUE,45296,100
District of Columbia,Ward 5,Joe Biden,DEM,43320,TRUE,46107,100
District of Columbia,Ward 6,Joe Biden,DEM,56719,TRUE,62918,100
District of Columbia,Ward 7,Joe Biden,DEM,36382,TRUE,38384,100
District of Columbia,Ward 8,Joe Biden,DEM,30897,TRUE,32858,100
Florida,Alachua County,Joe Biden,DEM,89704,TRUE,142604,100
Florida,Baker County,Donald Trump,REP,11911,TRUE,14059,100
Florida,Bay County,Donald Trump,REP,66097,TRUE,93024,100
Florida,Bradford County,Donald Trump,REP,10334,TRUE,13632,100
Florida,Brevard County,Donald Trump,REP,207883,TRUE,360764,100
Florida,Broward County,Joe Biden,DEM,618752,TRUE,957672,100
Florida,Calhoun County,Donald Trump,REP,5274,TRUE,6526,100
Florida,Charlotte County,Donald Trump,REP,73243,TRUE,116340,100
Florida,Citrus County,Donald Trump,REP,65352,TRUE,93208,100
Florida,Clay County,Donald Trump,REP,84480,TRUE,124405,100
Florida,Collier County,Donald Trump,REP,128950,TRUE,207818,100
Florida,Columbia County,Donald Trump,REP,23836,TRUE,33042,100
Florida,DeSoto County,Donald Trump,REP,8313,TRUE,12659,100
Florida,Dixie County,Donald Trump,REP,6759,TRUE,8167,100
Florida,Duval County,Joe Biden,DEM,252556,TRUE,492820,100
Florida,Escambia County,Donald Trump,REP,96674,TRUE,170372,100
Florida,Flagler County,Donald Trump,REP,43043,TRUE,71716,100
Florida,Franklin County,Donald Trump,REP,4675,TRUE,6849,100
Florida,Gadsden County,Joe Biden,DEM,16153,TRUE,23762,100
Florida,Gilchrist County,Donald Trump,REP,7895,TRUE,9685,100
Florida,Glades County,Donald Trump,REP,3782,TRUE,5193,100
Florida,Gulf County,Donald Trump,REP,6113,TRUE,8163,100
Florida,Hamilton County,Donald Trump,REP,3815,TRUE,5830,100
Florida,Hardee County,Donald Trump,REP,6122,TRUE,8485,100
Florida,Hendry County,Donald Trump,REP,7906,TRUE,12940,100
Florida,Hernando County,Donald Trump,REP,70412,TRUE,108922,100
Florida,Highlands County,Donald Trump,REP,34873,TRUE,52170,100
Florida,Hillsborough County,Joe Biden,DEM,376367,TRUE,712063,100
Florida,Holmes County,Donald Trump,REP,8080,TRUE,9068,100
Florida,Indian River County,Donald Trump,REP,58872,TRUE,97484,100
Florida,Jackson County,Donald Trump,REP,15488,TRUE,22419,100
Florida,Jefferson County,Donald Trump,REP,4479,TRUE,8451,100
Florida,Lafayette County,Donald Trump,REP,3128,TRUE,3658,100
Florida,Lake County,Donald Trump,REP,125859,TRUE,211314,100
Florida,Lee County,Donald Trump,REP,233247,TRUE,393899,100
Florida,Leon County,Joe Biden,DEM,103517,TRUE,162929,100
Florida,Levy County,Donald Trump,REP,16749,TRUE,23145,100
Florida,Liberty County,Donald Trump,REP,2846,TRUE,3561,100
Florida,Madison County,Donald Trump,REP,5576,TRUE,9380,100
Florida,Manatee County,Donald Trump,REP,124987,TRUE,216958,100
Florida,Marion County,Donald Trump,REP,127826,TRUE,204376,100
Florida,Martin County,Donald Trump,REP,61168,TRUE,98726,100
Florida,Miami-Dade County,Joe Biden,DEM,617864,TRUE,1156816,100
Florida,Monroe County,Donald Trump,REP,25693,TRUE,48029,100
Florida,Nassau County,Donald Trump,REP,42566,TRUE,58811,100
Florida,Okaloosa County,Donald Trump,REP,79798,TRUE,116373,100
Florida,Okeechobee County,Donald Trump,REP,11470,TRUE,15954,100
Florida,Orange County,Joe Biden,DEM,395014,TRUE,647403,100
Florida,Osceola County,Joe Biden,DEM,97297,TRUE,172436,100
Florida,Palm Beach County,Joe Biden,DEM,433572,TRUE,773158,100
Florida,Pasco County,Donald Trump,REP,179621,TRUE,301970,100
Florida,Pinellas County,Joe Biden,DEM,277450,TRUE,559715,100
Florida,Polk County,Donald Trump,REP,194586,TRUE,343256,100
Florida,Putnam County,Donald Trump,REP,25514,TRUE,36373,100
Florida,St. Johns County,Donald Trump,REP,110946,TRUE,176622,100
Florida,St. Lucie County,Donald Trump,REP,86831,TRUE,172169,100
Florida,Santa Rosa County,Donald Trump,REP,77385,TRUE,106928,100
Florida,Sarasota County,Donald Trump,REP,148370,TRUE,270575,100
Florida,Seminole County,Joe Biden,DEM,132528,TRUE,260815,100
Florida,Sumter County,Donald Trump,REP,62761,TRUE,92485,100
Florida,Suwannee County,Donald Trump,REP,16410,TRUE,21057,100
Florida,Taylor County,Donald Trump,REP,7751,TRUE,10127,100
Florida,Union County,Donald Trump,REP,5133,TRUE,6245,100
Florida,Volusia County,Donald Trump,REP,173821,TRUE,307439,100
Florida,Wakulla County,Donald Trump,REP,12874,TRUE,18404,100
Florida,Walton County,Donald Trump,REP,32947,TRUE,43711,100
Florida,Washington County,Donald Trump,REP,9876,TRUE,12327,100
Georgia,Appling County,Donald Trump,REP,6570,TRUE,8390,100
Georgia,Atkinson County,Donald Trump,REP,2300,TRUE,3155,100
Georgia,Bacon County,Donald Trump,REP,4017,TRUE,4667,100
Georgia,Baker County,Donald Trump,REP,897,TRUE,14059,100
Georgia,Baldwin County,Joe Biden,DEM,9140,TRUE,18251,100
Georgia,Banks County,Donald Trump,REP,7795,TRUE,8801,100
Georgia,Barrow County,Donald Trump,REP,26804,TRUE,37921,100
Georgia,Bartow County,Donald Trump,REP,37672,TRUE,50464,100
Georgia,Ben Hill County,Donald Trump,REP,4111,TRUE,6564,100
Georgia,Berrien County,Donald Trump,REP,6419,TRUE,7743,100
Georgia,Bibb County,Joe Biden,DEM,43408,TRUE,70714,100
Georgia,Bleckley County,Donald Trump,REP,4329,TRUE,5708,100
Georgia,Brantley County,Donald Trump,REP,6993,TRUE,7749,100
Georgia,Brooks County,Donald Trump,REP,4261,TRUE,7101,100
Georgia,Bryan County,Donald Trump,REP,14240,TRUE,21335,100
Georgia,Bulloch County,Donald Trump,REP,18387,TRUE,30090,100
Georgia,Burke County,Donald Trump,REP,5400,TRUE,10683,100
